WorkerId,condition,dog_cost,plasma_cost,sushi_cost
A18L9BY7DNA8D3,over,2300,4800,8.7
A1YGOYNWW3Q9SQ,over,2450,4850,9
A2JKCS6UCAUARS,over,800,1200,8
A3IM0Z8F01XLE6,over,2000,4200,9
A21JRS3L6PMJ5Q,over,"2,000",4500,8.5
A1ZLYD5GP1FLYL,over,1600,4600,8
A2CGAOF4G65D67,over,1750,4650,6.95
A2EUAY8BZ2H272,over,2200,4800,8
AMBTRKSCFZU2M,over,2000,4500,8.99
A3NS3B2BFI6AAO,over,1000,3000,9
A1SFABJ4NX5DFY,over,1600,4578,8.5
AG5OJVGC1ZH8Q,over,2250,4999,8.5
A3S99S9NJ6X08J,over,2000,4000,
A2CQ6N923E0AHA,over,2000,4500,8.5
AAOA3WLON3GKX,over,2200,4500,8
A2GREHAB3I8YTW,over,2200,4700,8
A2PDWVFT2AVEW9,over,1000,5000,7.75
A3NBCP9NSX3670,over,2250,4899,8
A1JGZFWWT1KMVV,over,1749,3499,8.99
AEA1MB8LFXEGH,over,1850,4999.99,7.99
A1F0K96LA51ICQ,over,2500,4999,9.3
A5IUO2T5MZQUZ,over,2000,4500,8.5
A1VYX5VKZ0CTWU,over,1500,3200,7.35
A29JHEW30K9LIU,over,2250,4500,8.5
A21WM0TU34VX0H,over,1500,3000,8
A17FFPDVAJ2SQJ,over,1875,4699,7.89
A2AMJWFVBY4TOX,over,2000,4540,8.95
A9J48W1C9IZAI,over,1800,3800,7
A1OKTCXWVYNXE6,over,2000,4000,8.5
A3O97JQ9J6RHLM,over,2325,4997,8.99
A2ZJ282IMK4033,under,1000,2500,7.5
A16VNOCOSQS8H6,under,2000,2500,7.8
A1A70X1I06UZKH,under,2192,4888,7.5
AFODO5KH3V4EN,under,2000,4400,7.99
A3G4OOZ25NZU3I,under,2000,0.45,8
AW6DOBYV5GVN6,under,2100,4300,7.99
A1DCWHY56LLX11,under,2299,4500,7.8
A14U5M64AK4MAR,under,2100,3500,6.99
A228LSM1VQ7GKY,under,2292,4888,7.5
A2P1GEHANE46W1,under,2482,4968,8.46
A38E9ET5TC41WD,under,1500,3000,7.5
A3EFN4B29IY00A,under,2200,4000,6.99
A2HU0HN75JRT9J,under,1500,4000,7.99
A1X4S0LBLQ5ICD,under,1900,4700,7.99
A28GTG78A8VHA8,under,2000,4500,6.99
A2NFI8WZXF9JYD,under,2200,4750,7.5
A3AJLUNBK4EU68,under,1500,2500,7.58
A1VYX5VKZ0CTWU,under,1658,3258,6.78
ATOES4DDGVTGZ,under,1900,4120,7.75
AKDETA3O440J7,under,2200,4900,8
A2CJ265G7KDQPQ,under,2000,4000,7.56
A1YQ5UO86XM73Z,under,1990,3250,7.75
A3800T0V4VADFI,under,2000,4000,7.99
AB6C1SZWVNQCC,under,1750,3500,7.99
A26B18YJBK0RF5,under,1790,4350,7.5
A2FNO46BROC6MW,under,2000,3200,8.5
A3D5C3AR576B1T,under,500,4500,7.99
A5IUO2T5MZQUZ,under,2000,4500,7.99
A3OWHW7XYQU52K,under,2000,4800,8
A1OYEERWIFE1E2,under,2000,3500,7.69
A3LBUWPBL3FV59,rounded,2300,4500,8
A1VYX5VKZ0CTWU,rounded,1687,3458,7.02
A1PYG25XQ6H75Z,rounded,2000,4500,8.49
A3LQAX287GQ35Q,rounded,2200,4500,8
A2B9QSYOSS5YTM,rounded,1900,3500,7.5
AR3I3KJIGB4U6,rounded,1000,2500,6.95
AHV4U78TUUDKI,rounded,1700,4495,7.5
ACSZ7IOG3J5NR,rounded,2400,4849,8.69
A3CWGT3EMQ17Y0,rounded,1700,3500,8
A3G07E5QWOJTAR,rounded,2000,4000,8
A1TQB6QX4RKBJV,rounded,1800,1500,8
A2UOKD7ZRDQA0K,rounded,2000,4200,8
A2TL18J7K3G2A3,rounded,2000,2999,7
A2BE9ZY7SQJUI1,rounded,2450,4995,8.95
A3R1YTYGRQEZU3,rounded,2300,4700,7.5
A10316ZXDCW4TT,rounded,2000,4300,8.25
AWR6MOBX9YSOM,rounded,1000,3500,8
AI2GXFO5FLLZ1,rounded,1950,4675,7.89
A2AVFNOKFHQ2ME,rounded,2000,"4,000",7.75
A36BYL3PXBRQHR,rounded,2000,4500,6.5
A1HQRT1UG6ERGL,rounded,500,4500,8
A3JQS4QJ5YMWZX,rounded,1500,4500,7
A1IAC1SAII8YSO,rounded,2000,4700,8.5
A54HH8I8XLIEP,rounded,1000,2000,7.5
AN6NSLCHI8SY4,rounded,2200,4700,8
A4X4GQMK34FGB,rounded,2000,4000,8.5
A3HMBHM8HJLKRD,rounded,2350,4750,8.25
A1W8FRDIXULFCW,rounded,2000,4000,8.5
AT2SP7P5DXNUI,rounded,1900,4800,8.5
A2FZNTF2DA43I0,rounded,2499.99,4995,8.99
